Airline,IOSA_1,IOSA_2,EU,Fatality,FAA,ICAO_1,ICAO_2,Rating
Adria Airways,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Aegean Airlines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Aer Lingus,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Aero Contractors,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Aero Mongolia,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Aerocaribbean,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
Aeroflot,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Aerogaviota,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Aerolineas Argentinas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Aeromar,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Aeromexico,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Aeronaves Dominicanas,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Aeropostal,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Afriqiyah,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
Aigle Azur,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Algerie,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
Air Arabia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Astana,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Air Austral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Bagan,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
Air Baltic,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Air Berlin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Botswana,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Air Busan,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Air Cairo,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Air Caledonie,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Canada,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Canada Express,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Caraibes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air China,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Corsica,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Do,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Air Dolomiti,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Europa,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air France,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Air Greenland,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Air Iceland,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Air India,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Air India Express,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
Air India Regional,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Air Inuit,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Air KBZ,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Air Koryo,1.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0
Air Macau,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Madagascar,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0
Air Malta,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Air Mandalay,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Air Mauritius,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Air Mediterranee,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Moldova,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Air Namibia,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Air New Zealand,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Niugini,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Air North Yukons Airline,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Air Nostrum/Iberia Regional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Panama,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Air Rarotonga,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Air Serbia,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Air Seychelles,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Air Tahiti,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Tahiti Nui,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Transat,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Air Vanuatu,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
Air Zimbabwe,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0
AirAsia India,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
AirAsia Indonesia,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
AirAsia Malaysia,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
AirAsia Thailand,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
AirAsia X,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
AirAsia Zest,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
Airblue,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
Aircalin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Airlines PNG,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
Airlink,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
AirNorth,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Alaska Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Alitalia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
All Nippon Airways (ANA),1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Allegiant Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Amaszonas,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
American Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
American Eagle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
ANA Wings,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Andes Lineas Aereas,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Ariana Afghan Airlines,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Arik Air,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Arkia Israel Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Aserca Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Asiana Airlines,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
ASKY Airlines,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
AtlasGlobal,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Aurigny Air Services,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Austral,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Austrian Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Avia Traffic Company,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0
Avianca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Avianca Ecuador,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Avior Airlines,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
AZAL Azerbaijan Airlines,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Azul,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
B & H Airlines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
BA CityFlyer,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Bahamas Air,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Bangkok Air,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
Batik Air,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Belavia,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Biman Bangladesh Airlines,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
Binter Canarias,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
blu-express,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Blue Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Blue Islands,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Blue Panorama,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Blue Wing,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
BMI Regional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
British Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Brussels Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Bulgaria Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Camair-Co,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Cambodia Angkor Air,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Canadian North,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Canaryfly,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Cape Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Caribbean Airlines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Carpatair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Cathay Pacific,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Cayman Airways and Cayman Airways Express,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Cebu Pacific,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Central Mountain Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
China Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
China Eastern,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
China Southern,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Citilink,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
CityJet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Cobham,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Condor Flugdienst,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Conviasa,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
Copa Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Corendon Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Corsair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Croatia Airlines,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Cubana De Aviacion,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Czech Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Daallo Airlines,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
Danish Air Transport,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Delta Air Lines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Donavia,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Dragonair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Drukair Royal Bhutan,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Eastar Jet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Eastern Airways,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Easyfly,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
easyJet,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Edelweiss,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
EgyptAir and EgyptAir Express,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
EL AL Israel Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Emirates,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Ethiopian Airways,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5.0
Etihad Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Etihad Regional,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
EVA Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Fastjet,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Felix Airways,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0
Fiji Airways,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Finnair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Firefly,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
First Air,0.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
fly540,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
Flybe,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Flybe Nordic,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Flydubai,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
flyNas,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Freebird,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Frontier Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Garuda Indonesia,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0
Georgian Airways,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Germania,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Germanwings,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Go Air,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
GOL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Golden Myanmar Airlines,0.0,0.0,1.0,1.0,1.0,1.0,0.0,4.0
Gulf Air,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0
Hainan Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Hawaiian Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Helvetic Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Hong Kong Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
HOP,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Hunnu Air,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Iberia and Iberia Express,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Icelandair,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
IndiGo,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Insel Air,1.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0
Interair,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6.0
Intercaribbean,0.0,0.0,1.0,1.0,1.0,1.0,1.0,5.0
Interjet,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
InterSky,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Iran Air and Iran Air Tour,1.0,1.0,1.0,0.0,1.0,1.0,1.0,6.0
Iran Aseman Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Island Air,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Israir,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Japan Airlines,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
Jazeera Airways,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0
